source_label,target_label,n,conditional_share
non_creative_task,non_creative_task,110506,0.8215021149743155
single_creative_generation,single_creative_generation,26809,0.5403515136856533
single_creative_generation,non_creative_task,19459,0.39220784456000324
non_creative_task,single_creative_generation,16668,0.1239099890720132
strict_brainstorming,non_creative_task,7443,0.4354668850924409
non_creative_task,strict_brainstorming,5449,0.04050789119590832
strict_brainstorming,strict_brainstorming,5031,0.2943482330915048
strict_brainstorming,single_creative_generation,4223,0.2470746548092675
refinement_or_selection,non_creative_task,2344,0.5148253898528443
single_creative_generation,strict_brainstorming,2113,0.04258878542346918
non_creative_task,refinement_or_selection,1894,0.01408000475776296
single_creative_generation,refinement_or_selection,1233,0.02485185633087435
refinement_or_selection,refinement_or_selection,951,0.20887327037118383
refinement_or_selection,single_creative_generation,929,0.20404129145618274
strict_brainstorming,refinement_or_selection,395,0.0231102270067868
refinement_or_selection,strict_brainstorming,329,0.07226004831978915
